2025-12-24 14:22:41 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 14:23:12 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 14:23:12 | INFO | ai_service.api:get_classification_pipeline:111 | Initializing classification pipeline
2025-12-24 14:23:12 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 14:23:12 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: facebook/bart-large-mnli
2025-12-24 14:23:17 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 14:23:17 | INFO | ai_service.pipelines.classify:__init__:41 | Classification pipeline initialized
2025-12-24 14:23:22 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Other' with confidence 0.356
2025-12-24 14:27:34 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Infrastructure' with confidence 0.276
2025-12-24 14:27:35 | INFO | ai_service.api:get_summarization_pipeline:119 | Initializing summarization pipeline
2025-12-24 14:27:35 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 14:27:35 | INFO | ai_service.models.summarizer:__init__:34 | Loading summarization model: facebook/bart-large-cnn
2025-12-24 14:27:43 | INFO | ai_service.models.summarizer:__init__:41 | Summarizer loaded successfully on cpu
2025-12-24 14:27:43 | INFO | ai_service.pipelines.summarize:__init__:38 | Summarization pipeline initialized
2025-12-24 14:27:49 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 277 chars from 558 chars (ratio: 0.50)
2025-12-24 14:27:58 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Public Safety' with confidence 0.319
2025-12-24 14:28:04 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 219 chars from 528 chars (ratio: 0.41)
2025-12-24 14:28:13 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Environment' with confidence 0.504
2025-12-24 14:28:19 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 251 chars from 529 chars (ratio: 0.47)
2025-12-24 14:28:44 | INFO | ai_service.pipelines.classify:process:78 | Returning cached classification result
2025-12-24 14:28:45 | INFO | ai_service.pipelines.summarize:process:74 | Returning cached summarization result
2025-12-24 14:28:46 | INFO | ai_service.pipelines.classify:process:78 | Returning cached classification result
2025-12-24 14:28:47 | INFO | ai_service.pipelines.summarize:process:74 | Returning cached summarization result
2025-12-24 14:28:48 | INFO | ai_service.pipelines.classify:process:78 | Returning cached classification result
2025-12-24 14:28:49 | INFO | ai_service.pipelines.summarize:process:74 | Returning cached summarization result
2025-12-24 14:29:18 | INFO | ai_service.pipelines.classify:process:78 | Returning cached classification result
2025-12-24 14:29:26 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 14:29:26 | INFO | ai_service.api:get_summarization_pipeline:119 | Initializing summarization pipeline
2025-12-24 14:29:26 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 14:29:26 | INFO | ai_service.models.summarizer:__init__:34 | Loading summarization model: facebook/bart-large-cnn
2025-12-24 14:29:30 | INFO | ai_service.models.summarizer:__init__:41 | Summarizer loaded successfully on cpu
2025-12-24 14:29:30 | INFO | ai_service.pipelines.summarize:__init__:38 | Summarization pipeline initialized
2025-12-24 14:29:37 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 277 chars from 558 chars (ratio: 0.50)
2025-12-24 14:29:38 | INFO | ai_service.api:get_classification_pipeline:111 | Initializing classification pipeline
2025-12-24 14:29:38 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 14:29:38 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: facebook/bart-large-mnli
2025-12-24 14:29:42 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 14:29:42 | INFO | ai_service.pipelines.classify:__init__:41 | Classification pipeline initialized
2025-12-24 14:29:50 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Public Safety' with confidence 0.319
2025-12-24 14:29:56 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 219 chars from 528 chars (ratio: 0.41)
2025-12-24 14:30:05 | INFO | ai_service.models.classifier:classify:134 | Classified as 'Environment' with confidence 0.504
2025-12-24 14:30:11 | INFO | ai_service.models.summarizer:summarize:114 | Generated summary: 251 chars from 529 chars (ratio: 0.47)
2025-12-24 15:07:39 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:07:39 | INFO | ai_service.api:get_verification_pipeline:148 | Initializing verification pipeline
2025-12-24 15:07:39 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 15:07:39 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 15:08:53 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 15:08:53 | INFO | ai_service.pipelines.verification:__init__:58 | Verification pipeline initialized
2025-12-24 15:08:55 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Satire' with confidence 0.323
2025-12-24 15:08:56 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Duplicate/Redundant' with confidence 0.737
2025-12-24 15:08:57 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Nonsense' with confidence 0.381
2025-12-24 15:08:58 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Duplicate/Redundant' with confidence 0.682
2025-12-24 15:09:39 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Credible News' with confidence 0.411
2025-12-24 15:09:44 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:09:45 | INFO | ai_service.api:get_verification_pipeline:148 | Initializing verification pipeline
2025-12-24 15:09:45 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 15:09:45 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 15:09:47 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 15:09:47 | INFO | ai_service.pipelines.verification:__init__:58 | Verification pipeline initialized
2025-12-24 15:09:48 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Satire' with confidence 0.323
2025-12-24 15:09:49 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Duplicate/Redundant' with confidence 0.737
2025-12-24 15:09:50 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Nonsense' with confidence 0.381
2025-12-24 15:09:51 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Duplicate/Redundant' with confidence 0.682
2025-12-24 15:13:26 | INFO | ai_service.models.classifier:classify:138 | Classified as 'Credible News' with confidence 0.411
2025-12-24 15:13:31 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:13:31 | INFO | ai_service.api:get_verification_pipeline:148 | Initializing verification pipeline
2025-12-24 15:13:31 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 15:13:31 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 15:13:33 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 15:13:33 | INFO | ai_service.pipelines.verification:__init__:58 | Verification pipeline initialized
2025-12-24 15:13:34 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Satire' with confidence 0.478
2025-12-24 15:13:35 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Actionable Report' with confidence 0.535
2025-12-24 15:13:36 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Nonsense' with confidence 0.283
2025-12-24 15:13:38 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Spam' with confidence 0.359
2025-12-24 15:17:23 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Credible News' with confidence 0.586
2025-12-24 15:17:24 | INFO | ai_service.pipelines.verification:_run_verification:109 | Returning cached news verification
2025-12-24 15:17:25 | INFO | ai_service.pipelines.verification:_run_verification:109 | Returning cached report verification
2025-12-24 15:17:26 | INFO | ai_service.pipelines.verification:_run_verification:109 | Returning cached report verification
2025-12-24 15:17:27 | INFO | ai_service.pipelines.verification:_run_verification:109 | Returning cached report verification
2025-12-24 15:26:19 | INFO | ai_service.pipelines.verification:_run_verification:109 | Returning cached news verification
2025-12-24 15:31:32 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:31:37 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:31:37 | INFO | ai_service.api:get_verification_pipeline:149 | Initializing verification pipeline
2025-12-24 15:31:37 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 15:31:37 | INFO | ai_service.pipelines.verification:__init__:43 | Loading Report Classifier: typeform/distilbert-base-uncased-mnli
2025-12-24 15:31:37 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 15:31:39 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 15:31:39 | INFO | ai_service.pipelines.verification:__init__:51 | Loading News Classifier: hamzab/roberta-fake-news-classification
2025-12-24 15:34:07 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:34:10 | INFO | ai_service.api:get_verification_pipeline:149 | Initializing verification pipeline
2025-12-24 15:34:10 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 15:34:10 | INFO | ai_service.pipelines.verification:__init__:43 | Loading Report Classifier: typeform/distilbert-base-uncased-mnli
2025-12-24 15:34:10 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 15:34:19 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
2025-12-24 15:34:19 | INFO | ai_service.pipelines.verification:__init__:51 | Loading News Classifier: hamzab/roberta-fake-news-classification
2025-12-24 15:35:05 | INFO | ai_service.pipelines.verification:__init__:62 | Loaded news labels: {0: 'FAKE', 1: 'TRUE'}
2025-12-24 15:35:05 | INFO | ai_service.pipelines.verification:__init__:68 | Verification pipeline initialized
2025-12-24 15:35:09 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Actionable Report' with confidence 0.990
2025-12-24 15:35:10 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Actionable Report' with confidence 0.722
2025-12-24 15:37:42 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:38:31 | INFO | ai_service.pipelines.verification:__init__:62 | Loaded news labels: {0: 'FAKE', 1: 'TRUE'}
2025-12-24 15:38:31 | INFO | ai_service.pipelines.verification:__init__:68 | Verification pipeline initialized
2025-12-24 15:38:37 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Actionable Report' with confidence 0.990
2025-12-24 15:38:38 | INFO | ai_service.models.classifier:classify:139 | Classified as 'Actionable Report' with confidence 0.722
2025-12-24 15:39:22 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 15:41:38 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 16:05:18 | INFO | ai_service.utils:setup_logging:147 | Logging initialized at INFO level
2025-12-24 16:06:36 | INFO | ai_service.api:get_verification_pipeline:149 | Initializing verification pipeline
2025-12-24 16:06:36 | INFO | ai_service.utils:get_device:185 | Using device: cpu
2025-12-24 16:06:36 | INFO | ai_service.pipelines.verification:__init__:42 | Loading Report Classifier: typeform/distilbert-base-uncased-mnli
2025-12-24 16:06:36 | INFO | ai_service.models.classifier:__init__:47 | Loading classifier model: typeform/distilbert-base-uncased-mnli
2025-12-24 16:06:38 | INFO | ai_service.models.classifier:__init__:54 | Classifier loaded successfully on cpu
